discard_label,temperature_k,delta_g_mev_per_atom
d25,900.0,9.339119517569827
d25,975.0,3.157261212637742
d25,1050.0,-3.242586489895635
d25,1100.0,-7.523341179468849
d50,900.0,9.339119517569827
d50,975.0,3.112530462607439
d50,1050.0,-3.3302539807254465
d50,1100.0,-7.6164334385842265
d75,900.0,9.339119517569827
d75,975.0,3.1276335787660234
d75,1050.0,-3.3924210269396777
d75,1100.0,-7.6904217979807985
